"Table with row headers in Column A, and column headers in row 3",,,
Supplemental Table 1.,,,
Percentage of Workers Who Commuted by Bicycle in Small Cities: 2008Ð2012 ,,,
"(Total City Population of 20,000Ð99,999)1",,,
"(For information on confidentiality protection, sampling error, and definitions, see www.census.gov/acs/www/Downloads/data_documentation/ Accuracy
/ACS_Accuracy_of_Data_2012.pdf)",,,
City,Number of workers who commuted by bicycle,Percentage of workers,"Margin of 
error (±)2 "
"Eau Claire city, Wisconsin ",389,1.1,0.3
"Eden Prairie city, Minnesota ",117,0.4,0.4
"Edgewater city, Florida ",82,0.9,0.9
"Edina city, Minnesota ",220,1.0,0.5
"Edinburg city, Texas ",90,0.3,0.2
"Edmond city, Oklahoma ",106,0.3,0.1
"Edmonds city, Washington ",54,0.3,0.2
"Edwardsville city, Illinois ",54,0.4,0.4
"El Centro city, California ",54,0.4,0.4
"El Cerrito city, California ",263,2.2,0.7
"El Mirage city, Arizona ",23,0.2,0.2
"El Paso de Robles (Paso Robles) city, Ca ",71,0.5,0.4
"Elizabethtown city, Kentucky ",0,0.0,0.3
"Elk Grove Village village, Illinois ",22,0.1,0.2
"Elk River city, Minnesota ",26,0.2,0.2
"Elkhart city, Indiana ",262,1.3,0.6
"Elmhurst city, Illinois ",46,0.2,0.2
"Elmira city, New York ",56,0.5,0.3
"Elmwood Park village, Illinois ",20,0.2,0.2
"Elyria city, Ohio ",104,0.4,0.3
"Emporia city, Kansas ",60,0.5,0.5
"Encinitas city, California ",470,1.6,0.5
"Englewood city, Colorado ",210,1.3,0.7
"Englewood city, New Jersey ",35,0.3,0.3
"Enid city, Oklahoma ",28,0.1,0.1
"Enterprise city, Alabama ",13,0.1,0.1
"Euclid city, Ohio ",14,0.1,0.1
"Euless city, Texas ",83,0.3,0.3
"Eureka city, California ",232,1.9,1.0
"Evanston city, Illinois ","1,073",3.0,0.5
"Everett city, Massachusetts ",162,0.7,0.5
"Fair Lawn borough, New Jersey ",9,0.1,0.1
"Fairbanks city, Alaska ",301,1.9,0.9
"Fairborn city, Ohio ",81,0.5,0.5
"Fairfax city, Virginia ",23,0.2,0.2
"Fairfield city, Ohio ",0,0.0,0.1
"Fall River city, Massachusetts ",90,0.3,0.2
"Faribault city, Minnesota ",12,0.1,0.2
"Farmers Branch city, Texas ",18,0.1,0.2
"Farmington city, Minnesota ",13,0.1,0.2
"Farmington city, New Mexico ",91,0.5,0.5
"Farmington city, Utah ",7,0.1,0.2
"Farmington Hills city, Michigan ",82,0.2,0.2
"Farragut town, Tennessee ",0,0.0,0.4
"Fayetteville city, Arkansas ",213,0.6,0.3
"Federal Way city, Washington ",49,0.1,0.1
"Ferguson city, Missouri ",9,0.1,0.2
"Ferndale city, Michigan ",62,0.6,0.5
"Findlay city, Ohio ",155,0.8,0.5
"Fishers town, Indiana ",49,0.1,0.1
"Fitchburg city, Massachusetts ",11,0.1,0.1
"Fitchburg city, Wisconsin ",119,0.9,0.6
"Flagstaff city, Arizona ","1,713",4.9,0.8
"Florence city, Alabama ",39,0.2,0.3
"Florence city, Kentucky ",28,0.2,0.2
"Florence city, South Carolina ",94,0.6,0.4
"Florence town, Arizona ",0,0.0,1.3
"Florissant city, Missouri ",31,0.1,0.1
"Flower Mound town, Texas ",38,0.1,0.1
"Folsom city, California ",240,0.8,0.4
